dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.765907,6.495163,0.094018,0.183230,0.181838,0.000756,6.267034
0.050000,0.775521,6.495000,0.103634,0.192324,0.181866,0.000573,6.265326
0.050000,0.785588,6.494811,0.113703,0.201375,0.181034,-0.016645,6.263527
0.050000,0.796108,6.494594,0.124225,0.210439,0.181278,0.004874,6.261636
0.050000,0.807080,6.494347,0.135199,0.219484,0.180900,-0.007562,6.259652
0.050000,0.818501,6.494066,0.146624,0.228498,0.180282,-0.012361,6.257573
0.050000,0.830372,6.493749,0.158499,0.237505,0.180136,-0.002908,6.255399
0.050000,0.842692,6.493393,0.170824,0.246501,0.179921,-0.004306,6.253126
0.050000,0.855460,6.492994,0.183598,0.255483,0.179635,-0.005724,6.250754
0.050000,0.868675,6.492549,0.196821,0.264447,0.179277,-0.007159,6.248281
0.050000,0.882335,6.492054,0.210490,0.273389,0.178846,-0.008613,6.245704
0.050000,0.896440,6.491506,0.224605,0.282306,0.178342,-0.010083,6.243023
0.050000,0.910987,6.490901,0.239165,0.291194,0.177764,-0.011569,6.240233
0.050000,0.925976,6.490235,0.254168,0.300069,0.177486,-0.005544,6.237335
0.050000,0.941405,6.489504,0.269615,0.308939,0.177404,-0.001646,6.234324
0.050000,0.957273,6.488703,0.285503,0.317748,0.176176,-0.024565,6.231200
0.050000,0.973578,6.487829,0.301831,0.326569,0.176419,0.004857,6.227959
0.050000,0.990318,6.486875,0.318598,0.335345,0.175518,-0.018009,6.224598
0.050000,1.007491,6.485838,0.335803,0.344086,0.174822,-0.013928,6.221115
0.050000,1.025095,6.484712,0.353443,0.352806,0.174410,-0.008235,6.217508
0.050000,1.043129,6.483492,0.371518,0.361502,0.173910,-0.010002,6.213772
